"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"	"NTI"
"A10r-L10_S12"	89	0.0586633579135342	0.265286700677969	0.0288812845287599	1	-7.15422967280695	0.001	999	7.15422967280695
"A10r-L7_S9"	112	0.0786881346228574	0.242825274101998	0.0229373730774062	1	-7.15588218952671	0.001	999	7.15588218952671
"A10r-L8_S10"	22	0.492700193006022	0.435788803134432	0.078788727255924	764	0.722329092672472	0.764	999	-0.722329092672472
"A10r-L9_S11"	100	0.0713701675511782	0.254447620952205	0.0267097099742307	1	-6.85434074640489	0.001	999	6.85434074640489
"A11K-L10_S44"	154	0.0717379757528115	0.213802393703411	0.0181725598682802	1	-7.8175237269995	0.001	999	7.8175237269995
"A11K-L7_S41"	231	0.0538094443145461	0.178203037380487	0.0131989052134925	1	-9.42453870634519	0.001	999	9.42453870634519
"A11K-L8_S42"	238	0.0429037444321086	0.17584284472404	0.0129170623682613	1	-10.2917440902491	0.001	999	10.2917440902491
"A11K-L9_S43"	124	0.0869961818991761	0.233953363851007	0.0229037584509163	1	-6.41629111950194	0.001	999	6.41629111950194
"A13r-L10_S16"	83	0.0824978824375328	0.271433813956661	0.0308189578494513	1	-6.13051007247126	0.001	999	6.13051007247126
"A13r-L7_S13"	75	0.127587758224172	0.282381360829395	0.0324989547951366	1	-4.7630332600231	0.001	999	4.7630332600231
"A13r-L8_S14"	37	0.120617884141675	0.365362861853834	0.0565629793524836	1	-4.3269463616296	0.001	999	4.3269463616296
"A13r-L9_S15"	24	0.174411135262829	0.421018469243539	0.075986241868109	1	-3.24542085406398	0.001	999	3.24542085406398
"A14K-L10_S48"	82	0.104624410689801	0.274285373134868	0.0310168713290473	1	-5.46995732242599	0.001	999	5.46995732242599
"A14K-L7_S45"	241	0.0829329029916505	0.17477047680321	0.0129532344853961	1	-7.08993370845713	0.001	999	7.08993370845713
"A14K-L8_S46"	65	0.208515359072545	0.297807478766166	0.0383748086869249	10	-2.326842080754	0.01	999	2.326842080754
"A14K-L9_S47"	190	0.0552286729866668	0.194895479427061	0.0161168087894322	1	-8.6659095026289	0.001	999	8.6659095026289
"A2r-L10_S4"	42	0.152540828866416	0.346839129545404	0.0515183926142338	1	-3.77143561395405	0.001	999	3.77143561395405
"A2r-L7_S1"	109	0.0656487138727051	0.245363422947621	0.0250755664405921	1	-7.16692520189674	0.001	999	7.16692520189674
"A2r-L8_S2"	67	0.093605487551921	0.29451090002385	0.0353333485005514	1	-5.68599979899427	0.001	999	5.68599979899427
"A2r-L9_S3"	17	0.38403317370551	0.473375214144363	0.0975622377688594	180	-0.915744067397455	0.18	999	0.915744067397455
"A3K-L10_S36"	133	0.0574941467264288	0.226807492175575	0.0208858251858399	1	-8.10661508188514	0.001	999	8.10661508188514
"A3K-L7_S33"	163	0.0690096304171581	0.208718897839267	0.0178565928710535	1	-7.82395994750965	0.001	999	7.82395994750965
"A3K-L8_S34"	178	0.0596043562463102	0.201447747979898	0.016548321825526	1	-8.57146683688447	0.001	999	8.57146683688447
"A3K-L9_S35"	195	0.0754428928489158	0.19305704096421	0.0152140261191319	1	-7.73063929260597	0.001	999	7.73063929260597
"A5r-L10_S8"	45	0.169095424922253	0.341300099027779	0.0481644335832917	1	-3.57534930433115	0.001	999	3.57534930433115
"A5r-L7_S5"	91	0.127434687321982	0.262833121018955	0.0286388636114093	1	-4.72778653280896	0.001	999	4.72778653280896
"A5r-L8_S6"	38	0.16689863131701	0.358462680290747	0.0565545338481227	1	-3.38724476959146	0.001	999	3.38724476959146
"A5r-L9_S7"	18	0.321074732533737	0.468363425968012	0.0928741528911655	46	-1.58589541706911	0.046	999	1.58589541706911
"A6K-L10_S40"	182	0.0802454174186566	0.198503180345988	0.0166083218359131	1	-7.1203920598176	0.001	999	7.1203920598176
"A6K-L7_S37"	63	0.123382235653463	0.30204818235915	0.0376703233693544	1	-4.74288327588491	0.001	999	4.74288327588491
"A6K-L8_S38"	17	0.210804232513438	0.47828369519201	0.0980857654689427	3	-2.72699572052853	0.003	999	2.72699572052853
"A6K-L9_S39"	109	0.0698121486155628	0.243727965521283	0.0252140044728015	1	-6.89758808813269	0.001	999	6.89758808813269
"W10K-L10_S60"	30	0.26948001023483	0.394659871784541	0.0643555159289887	24	-1.94513026183858	0.024	999	1.94513026183858
"W10K-L7_S57"	177	0.0897892880378627	0.201583898236495	0.0174364513253283	1	-6.41154602578097	0.001	999	6.41154602578097
"W10K-L8_S58"	132	0.0842057138118426	0.226654526785105	0.0208939279817305	1	-6.81771340926504	0.001	999	6.81771340926504
"W10K-L9_S59"	166	0.0680768846940517	0.206899319458139	0.0174383341633852	1	-7.96076239068576	0.001	999	7.96076239068576
"W13r-L10_S32"	59	0.154545900344669	0.31048114293301	0.039641301310811	1	-3.93365599594518	0.001	999	3.93365599594518
"W13r-L7_S29"	49	0.107035357619851	0.330457107361142	0.0463779992942679	1	-4.81740810602206	0.001	999	4.81740810602206
"W13r-L8_S30"	48	0.0773014112472086	0.333732830857928	0.0460495728713061	1	-5.56859496454752	0.001	999	5.56859496454752
"W13r-L9_S31"	75	0.0751445212417055	0.282056733579629	0.0343353868742843	1	-6.02620885256115	0.001	999	6.02620885256115
"W14K-L10_S64"	197	0.0618972766026689	0.192061158810938	0.0153186763062397	1	-8.49707113109048	0.001	999	8.49707113109048
"W14K-L7_S61"	156	0.0565694474454145	0.211986250135526	0.0184189522741323	1	-8.43787422742717	0.001	999	8.43787422742717
"W14K-L8_S62"	362	0.0417063875014516	0.143490418381521	0.0089443852366209	1	-11.3796564199109	0.001	999	11.3796564199109
"W14K-L9_S63"	57	0.166821951284278	0.314508761764758	0.0411781076292577	1	-3.58653709418027	0.001	999	3.58653709418027
"W1r-L10_S20"	27	0.264375468078868	0.408944371536871	0.0709798209724462	19	-2.0367606099503	0.019	999	2.0367606099503
"W1r-L7_S17"	95	0.0677338342467807	0.259255206116424	0.0271821161674812	1	-7.04585951621995	0.001	999	7.04585951621995
"W1r-L8_S18"	32	0.297202239069736	0.385425179584277	0.0632720139012173	90	-1.39434380344331	0.09	999	1.39434380344331
"W1r-L9_S19"	26	0.331180421719633	0.412390512185234	0.0709294870120494	126	-1.14494117872028	0.126	999	1.14494117872028
"W2K-L10_S52"	173	0.049050441630307	0.203357056420628	0.0173427780204728	1	-8.89745660171428	0.001	999	8.89745660171428
"W2K-L7_S49"	546	0.0161679433819633	0.115460459203323	0.00580372613329029	1	-17.1084082089635	0.001	999	17.1084082089635
"W2K-L8_S50"	190	0.0826387358913438	0.19498646095061	0.0156949456763329	1	-7.15821050777391	0.001	999	7.15821050777391
"W2K-L9_S51"	168	0.0763048178923617	0.205084787501099	0.0182252106868588	1	-7.06603461663097	0.001	999	7.06603461663097
"W5r-L10_S24"	130	0.0740685915529933	0.228749722983065	0.0213917273008584	1	-7.23088553133645	0.001	999	7.23088553133645
"W5r-L7_S21"	29	0.258640889306567	0.395881269411036	0.066711308543436	12	-2.05722812370126	0.012	999	2.05722812370126
"W5r-L8_S22"	27	0.159841617053645	0.408677837992367	0.0683979236089773	1	-3.63806688579157	0.001	999	3.63806688579157
"W5r-L9_S23"	92	0.0848297215474701	0.261628335455941	0.0279315912734685	1	-6.32970073840395	0.001	999	6.32970073840395
"W7K-L10_S56"	241	0.0414639026090867	0.174853098532548	0.0127522336708995	1	-10.4600652219739	0.001	999	10.4600652219739
"W7K-L7_S53"	284	0.0352521699894764	0.161938972347208	0.0108759870439282	1	-11.6483039052954	0.001	999	11.6483039052954
"W7K-L8_S54"	176	0.0781747933200312	0.200374349731092	0.0164316526439608	1	-7.43683907266463	0.001	999	7.43683907266463
"W7K-L9_S55"	283	0.0357164618835404	0.161903823063474	0.0115699178735959	1	-10.9065044850414	0.001	999	10.9065044850414
"W9r-L10_S28"	53	0.0608709521050545	0.322083345646955	0.0421978243185153	1	-6.19018628946914	0.001	999	6.19018628946914
"W9r-L7_S25"	149	0.0887194456371947	0.216109192505061	0.0189166019943704	1	-6.73428276948355	0.001	999	6.73428276948355
"W9r-L8_S26"	49	0.271485453003586	0.329640082302865	0.0439460572431613	91	-1.32331847149563	0.091	999	1.32331847149563
"W9r-L9_S27"	61	0.105546792051067	0.304641470095936	0.0418710588184703	1	-4.75494729923198	0.001	999	4.75494729923198
"K4-aw_S83"	793	0.0512459782423164	0.0937396452183437	0.00413263830974439	1	-10.282454885014	0.001	999	10.282454885014
"K5-aw_S85"	712	0.04742671568345	0.0997550778787883	0.00448043721453907	1	-11.6792981777609	0.001	999	11.6792981777609
"K6-aw_S87"	880	0.0500711964796888	0.0881016853289416	0.00375832747061291	1	-10.1189928622826	0.001	999	10.1189928622826
"K7b-aw_S81"	503	0.0701882627997809	0.120866335781505	0.00646902361314549	1	-7.83396011706354	0.001	999	7.83396011706354
"r4-aw_S84"	291	0.048509312460935	0.160102846746429	0.0110222417837739	1	-10.1243954246924	0.001	999	10.1243954246924
"r5-aw_S86"	653	0.0238257869409593	0.10492871082702	0.00513480953861858	1	-15.79472875792	0.001	999	15.79472875792
"r6-aw_S88"	357	0.0317436759012547	0.144083356145421	0.00887953751436875	1	-12.6515238054211	0.001	999	12.6515238054211
"r7b-aw_S82"	389	0.0314501658025101	0.138417805925159	0.00832983830728584	1	-12.8415025810391	0.001	999	12.8415025810391
"A10r-rw_S75"	634	0.0151949565422506	0.106496349878512	0.00481981466761821	1	-18.9429261564075	0.001	999	18.9429261564075
"A11K-rw_S67"	708	0.0271315401014511	0.100001785415093	0.00458338609052448	1	-15.8987796084409	0.001	999	15.8987796084409
"A13r-rw_S76"	619	0.0234270411723006	0.108185851101808	0.00524254896138057	1	-16.1674808483213	0.001	999	16.1674808483213
"A14K-rw_S68"	533	0.023951639178392	0.116901648576256	0.00618509036196852	1	-15.028076221716	0.001	999	15.028076221716
"A2r-rw_S73"	713	0.0164940222499377	0.0997948650636475	0.00440512866193079	1	-18.9099681772288	0.001	999	18.9099681772288
"A3K-rw_S65"	655	0.0229354209791943	0.104398837346172	0.0050920974968576	1	-15.9980079755444	0.001	999	15.9980079755444
"A5r-rw_S74"	661	0.0203790772248835	0.104190439232517	0.00484177463211972	1	-17.310050214159	0.001	999	17.310050214159
"A6K-rw_S66"	568	0.0220345246678549	0.113062431412654	0.00587571507200805	1	-15.4922261595796	0.001	999	15.4922261595796
"W10K-rw_S71"	561	0.026950431017769	0.114092917044511	0.00578684399430813	1	-15.0587239110739	0.001	999	15.0587239110739
"W13r-rw_S80"	692	0.0200784472032305	0.101489174048631	0.0046049567220914	1	-17.6789341916827	0.001	999	17.6789341916827
"W14K-rw_S72"	460	0.0255385930872985	0.126896464025917	0.00708608646935075	1	-14.3037869177887	0.001	999	14.3037869177887
"W1r-rw_S77"	674	0.0185589249382734	0.102834358951862	0.00454490272440607	1	-18.5428465962605	0.001	999	18.5428465962605
"W2K-rw_S69"	479	0.0210286778376117	0.124227153094521	0.00671908356760116	1	-15.3590105285374	0.001	999	15.3590105285374
"W5r-rw_S78"	698	0.0219729024331519	0.101005946289231	0.00454904998702969	1	-17.3735272378671	0.001	999	17.3735272378671
"W7K-rw_S70"	452	0.0175327565851359	0.127758466008317	0.00727445311942178	1	-15.1524393124335	0.001	999	15.1524393124335
"W9r-rw_S79"	633	0.0232050870386197	0.106732284523214	0.00499920463138005	1	-16.7080973161797	0.001	999	16.7080973161797
