ASV_nr;ASV_name
741;Zotu741
968;Zotu968
691;Zotu691
1328;Zotu1328
1370;Zotu1370
1609;Zotu1609
965;Zotu965
3300;Zotu3300
2226;Zotu2226
1719;Zotu1719
2696;Zotu2696
3168;Zotu3168
1339;Zotu1339
2476;Zotu2476
1334;Zotu1334
1654;Zotu1654
1752;Zotu1752
910;Zotu910
1801;Zotu1801
2765;Zotu2765
3285;Zotu3285
969;Zotu969
1020;Zotu1020
2448;Zotu2448
2769;Zotu2769
348;Zotu348
530;Zotu530
2446;Zotu2446
1462;Zotu1462
2361;Zotu2361
1349;Zotu1349
729;Zotu729
1863;Zotu1863
1096;Zotu1096
614;Zotu614
3167;Zotu3167
1404;Zotu1404
3250;Zotu3250
1751;Zotu1751
1266;Zotu1266
1008;Zotu1008
1766;Zotu1766
1896;Zotu1896
592;Zotu592
2052;Zotu2052
1015;Zotu1015
2935;Zotu2935
2821;Zotu2821
1742;Zotu1742
1824;Zotu1824
1177;Zotu1177